"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Leschenaultia biloba",1,NA,NA,1
"P. cinnamomi","Leucadendron conicum",1,NA,NA,1
"P. cinnamomi","Leucadendron eucalyptifolium",1,NA,NA,1
"P. cinnamomi","Leycesteria formosa",1,NA,NA,1
"P. cinnamomi","Lilium wallichianum",1,NA,NA,1
"P. cinnamomi","Abelia parvifolia",2,NA,NA,2
"P. cinnamomi","Litchi chinensis",3,NA,NA,3
"P. cinnamomi","Litsea calicaris",1,NA,NA,1
"P. cinnamomi","Piper excelsum",1,NA,NA,1
"P. cinnamomi","Macrozamia communis",2,NA,NA,2
"P. cinnamomi","Macrozamia riedlei",1,NA,NA,1
"P. cinnamomi","Magnolia laevifolia",1,NA,NA,1
"P. cinnamomi","Melaleuca deanei",1,NA,NA,1
"P. cinnamomi","Melaleuca gibbosa",4,NA,NA,4
"P. cinnamomi","Melanopsidium nigrum",3,NA,NA,3
"P. cinnamomi","Mitrasacme pilosa",1,NA,NA,1
"P. cinnamomi","Monotoca elliptica",1,NA,NA,1
"P. ramorum","Neopanax arboreus",1,NA,NA,1
"P. cinnamomi","Nothofagus alessandrii",2,NA,NA,2
"P. ramorum","Nothofagus fusca",1,NA,NA,1
"P. cinnamomi","Nothofagus glauca",2,NA,NA,2
"P. cinnamomi","Nothofagus gunnii",1,NA,NA,1
"P. cinnamomi","Nothofagus × leoni",1,NA,NA,1
"P. cinnamomi","Nothofagus obliqua",2,NA,NA,2
"P. cinnamomi","Nothofagus solandri",2,NA,NA,2
"P. cinnamomi","Panax ginseng",1,NA,NA,1
"P. cinnamomi","Pandorea jasminoides",1,NA,NA,1
"P. cinnamomi","Persoonia juniperina",1,NA,NA,1
"P. cinnamomi","Petrophile linearis",1,NA,NA,1
"P. cinnamomi","Philotheca virgata",1,NA,NA,1
"P. cinnamomi","Pimelea rosea",1,NA,NA,1
"P. cinnamomi","Pinus kesiya",5,NA,NA,5
"P. cinnamomi","Pinus lambertiana",1,NA,NA,1
"P. cinnamomi","Pinus monticola",1,NA,NA,1
"P. ramorum","Pinus radiata",1,NA,NA,1
"P. cinnamomi","Podocarpus macrophyllus",1,NA,NA,1
"P. cinnamomi","Podocarpus salignus",1,NA,NA,1
"P. kernoviae","Pectinopitys ferruginea",1,NA,NA,1
"P. cinnamomi","Pultenaea juniperina",1,NA,NA,1
"P. cinnamomi","Pultenaea stricta",1,NA,NA,1
"P. cinnamomi","Quercus bicolor",1,NA,NA,1
"P. pseudosyringae","Quercus ilex",1,NA,NA,1
"P. cinnamomi","Quercus laurina",1,NA,NA,1
"P. cinnamomi","Quercus pubescens",1,NA,NA,1
"P. kernoviae","Rhododendron catawbiense",1,NA,NA,1
"P. cinnamomi","Ricinocarpos pinifolius",1,NA,NA,1
"P. cinnamomi","Salvia officinalis",1,NA,NA,1
"P. cinnamomi","Scaevola albida",1,NA,NA,1
"P. cinnamomi","Senna pleurocarpa",1,NA,NA,1
"P. cinnamomi","Solanum maglia",1,NA,NA,1
"P. cinnamomi","Sphenotoma squarrosa",1,NA,NA,1
"P. cinnamomi","Stirlingia tenuifolia",1,NA,NA,1
"P. cinnamomi","Stylidium graminifolium",1,NA,NA,1
"P. cinnamomi","Leptecophylla abietina",2,NA,NA,2
"P. cinnamomi","Syncarpia glomulifera",1,NA,NA,1
"P. cinnamomi","Syzygium bamagense",1,NA,NA,1
"P. cinnamomi","Tasmannia lanceolata",2,NA,NA,2
"P. cinnamomi","Tetratheca labillardierei",1,NA,NA,1
"P. cinnamomi","Tetratheca procumbens",1,NA,NA,1
"P. cinnamomi","Thryptomene baeckeacea",2,NA,NA,2
"P. cinnamomi","Tsuga heterophylla",1,NA,NA,1
"P. cinnamomi","Ugni myricoides",1,NA,NA,1
"P. cinnamomi","Ulex europaeus",1,NA,NA,1
"P. cinnamomi","Vigna unguiculata",6,NA,NA,6
"P. cinnamomi","Viola uliginosa",1,NA,NA,1
"P. cinnamomi","Vitex lucens",1,NA,NA,1
"P. cinnamomi","Vitis riparia",2,NA,NA,2
"P. cinnamomi","Washingtonia filifera",1,NA,NA,1
"P. cinnamomi","Pterophylla racemosa",1,NA,NA,1
"P. cinnamomi","Widdringtonia nodiflora",1,NA,NA,1
"P. cinnamomi","Wodyetia bifurcata",2,NA,NA,2
"P. cinnamomi","Xanthorrhoea gracilis",2,NA,NA,2
"P. cinnamomi","Xanthorrhoea johnsonii",1,NA,NA,1
"P. cinnamomi","Xanthorrhoea platyphylla",1,NA,NA,1
