"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Couroupita guianensis",2,NA,NA,2
"P. cinnamomi","Crassula closiana",2,NA,NA,2
"P. cinnamomi","Cryptomeria japonica",4,NA,NA,4
"P. cinnamomi","Cucumis sativus",1,NA,NA,1
"P. cinnamomi","Cucurbita moschata",2,NA,NA,2
"P. cinnamomi","Hesperocyparis arizonica",3,NA,NA,3
"P. cinnamomi","Hesperocyparis macrocarpa",8,NA,NA,8
"P. cinnamomi","Cupressus sempervirens",7,NA,NA,7
"P. austrocedri","Cupressus sempervirens",2,NA,NA,2
"P. cinnamomi","Curcuma longa",1,NA,NA,1
"P. cinnamomi","Curtisia dentata",2,NA,NA,2
"P. cinnamomi","Leucopogon fasciculatus",4,NA,NA,4
"P. cinnamomi","Cyathodes glauca",2,NA,NA,2
"P. cinnamomi","Leptecophylla juniperina",2,NA,NA,2
"P. cinnamomi","Cyclamen persicum",2,NA,NA,2
"P. cinnamomi","Daboecia azorica",2,NA,NA,2
"P. cinnamomi","Daboecia cantabrica",2,NA,NA,2
"P. cinnamomi","Dampiera linearis",2,NA,NA,2
"P. cinnamomi","Daphne laureola",2,NA,NA,2
"P. cinnamomi","Daphne odora",5,NA,NA,5
"P. cinnamomi","Darwinia pinifolia",2,NA,NA,2
"P. cinnamomi","Archidasyphyllum diacanthoides",2,NA,NA,2
"P. cinnamomi","Desfontainia spinosa",2,NA,NA,2
"P. cinnamomi","Dianella nigra",2,NA,NA,2
"P. cinnamomi","Dicksonia antarctica",2,NA,NA,2
"P. cinnamomi","Dicranopteris linearis",2,NA,NA,2
"P. cinnamomi","Dillwynia glaberrima",3,NA,NA,3
"P. cinnamomi","Dillwynia uncinata",2,NA,NA,2
"P. cinnamomi","Dionaea muscipula",2,NA,NA,2
"P. cinnamomi","Diospyros morrisiana",4,NA,2,2
"P. cinnamomi","Diplolaena angustifolia",2,NA,NA,2
"P. cinnamomi","Dracaena reflexa",2,NA,NA,2
"P. cinnamomi","Drimys winteri",3,NA,NA,3
"P. kernoviae","Drimys winteri",3,NA,1,2
"P. cinnamomi","Drosera erythrorhiza",2,NA,NA,2
"P. cinnamomi","Banksia formosa",2,NA,NA,2
"P. cinnamomi","Banksia nivea",2,NA,NA,2
"P. cinnamomi","Banksia polycephala",2,NA,NA,2
"P. cinnamomi","Banksia undata",2,NA,NA,2
"P. cinnamomi","Banksia serra",2,NA,NA,2
"P. cinnamomi","Banksia sessilis",3,NA,NA,3
"P. cinnamomi","Banksia splendida",2,NA,NA,2
"P. cinnamomi","Durio zibethinus",3,NA,NA,3
"P. cinnamomi","Elaeocarpus hookerianus",4,NA,NA,4
"P. cinnamomi","Engelhardia roxburghiana",1,NA,1,NA
"P. cinnamomi","Epacris impressa",11,NA,NA,11
"P. cinnamomi","Erica baccans",2,NA,NA,2
"P. cinnamomi","Erica bauera",4,NA,NA,4
"P. cinnamomi","Erica canaliculata",4,NA,NA,4
"P. cinnamomi","Erica carnea",4,NA,NA,4
"P. cinnamomi","Erica lusitanica",4,NA,NA,4
"P. cinnamomi","Erica multiflora",2,NA,NA,2
"P. cinnamomi","Erica peltata",2,NA,NA,2
"P. cinnamomi","Erica regerminans",4,NA,NA,4
"P. cinnamomi","Erica umbellata",2,NA,NA,2
"P. cinnamomi","Eucalyptus amygdalina",4,NA,NA,4
"P. cinnamomi","Eucalyptus baxteri",3,NA,NA,3
"P. cinnamomi","Corymbia citriodora",4,NA,NA,4
"P. cinnamomi","Eucalyptus delegatensis",7,NA,NA,7
"P. cinnamomi","Eucalyptus dunnii",3,NA,NA,3
"P. cinnamomi","Eucalyptus fastigata",9,NA,NA,9
"P. cinnamomi","Corymbia ficifolia",4,NA,NA,4
"P. cinnamomi","Eucalyptus fraxinoides",6,NA,NA,6
"P. cinnamomi","Eucalyptus globulus",3,NA,NA,3
"P. cinnamomi","Eucalyptus gomphocephala",2,NA,NA,2
"P. cinnamomi","Corymbia gummifera",5,NA,NA,5
"P. cinnamomi","Eucalyptus lehmannii",4,NA,NA,4
"P. cinnamomi","Eucalyptus leucoxylon",2,NA,NA,2
"P. cinnamomi","Eucalyptus macarthurii",2,NA,NA,2
"P. cinnamomi","Eucalyptus macrandra",2,NA,NA,2
